,Company Name,Job Title,City,State,Sal_min,Sal_max,Sal_avg
7013,DEPT OF INFO TECH & TELECOMM,Manager of Statistical Data,Manhattan,NY,53051.0,105000.0,79025.5
7038,"NewAgeSys,Inc",Scientist II (Pfizer),Parsippany,NJ,55000.0,,55000.0
7044,Animalz,Research Analyst,NewYork,NY,40000.0,,40000.0
7056,POLICE DEPARTMENT,"CITY RESEARCH SCIENTIST, LEVEL II",NewYork,NY,68239.0,85644.0,76941.5
7068,Harnham,"VP, Data Scientist - Banking",NewYork,NY,180000.0,,180000.0
7074,Averity,"Senior Data Scientist for Innovative, Top-Ranked Global Comp...",NewYork,NY,100000.0,120000.0,110000.0
7083,StreetID,Quantitative Analyst,NewYork,NY,120000.0,,120000.0
7104,Smith Arnold Partners,Research Analyst,NewYork,NY,50000.0,65000.0,57500.0
7141,DEPT OF ENVIRONMENT PROTECTION,Water Demand Projections Manager,NewYork,NY,59708.0,72246.0,65977.0
7142,Averity,Tableau Developer for Global Organization,NewYork,NY,70000.0,90000.0,80000.0
7144,Averity,Senior Data Scientist for Global Travel Company,NewYork,NY,100000.0,120000.0,110000.0
7148,New York City Department of Health and Mental Hygi...,Field Researcher,LongIslandCity,NY,68239.0,,68239.0
7164,Averity,Senior Systematic Quantitative Analyst - Multi-billion Dolla...,NewYork,NY,180000.0,220000.0,200000.0
7192,Scienaptic Systems Inc,Data Scientist,NewYork,NY,100000.0,,100000.0
7201,Driversiti,Full-Stack Dev Data Viz - Pythonic Design,RochellePark,NJ,100000.0,,100000.0
7215,Spencer Ogden,Equity Research Analyst - Power & Utilities,NewYork,NY,110000.0,120000.0,115000.0
7216,DEPT OF HEALTH/MENTAL HYGIENE,"Quality Assurance Analyst, Bureau of Vital Statistics",Manhattan,NY,59708.0,72246.0,65977.0
7237,Centers for Disease Control and Prevention,Health Scientist,NewYork,NY,88305.0,146570.0,117437.5
7267,Scienaptic Systems Inc,Data Scientist,NewYork,NY,100000.0,,100000.0
7309,Selby Jennings,FTR Quantitative Risk Analyst,NewYork,NY,90000.0,180000.0,135000.0
7343,POLICE DEPARTMENT,"STATISTICIAN, LEVEL I",NewYork,NY,41057.0,61669.0,51363.0
7372,Scienaptic Systems Inc,Data Scientist,NewYork,NY,100000.0,,100000.0
7384,Averity,Executive Director of Data Engineering,NewYork,NY,200000.0,230000.0,215000.0
7389,Selby Jennings,VP of Data Science & Analytics,NewYork,NY,150000.0,200000.0,175000.0
7417,Venteon,Data Scientist,Dearborn,MI,115000.0,,115000.0
7450,Selby Jennings,Catastrophe Risk Analyst - Quantitative,Detroit,MI,75000.0,120000.0,97500.0
7472,Altair Engineering,Sr. Product Engineer/Complete Seat Engineer,Troy,MI,110000.0,,110000.0
7479,Altair Engineering,CATIA Designer - Plastics,FarmingtonHills,MI,80000.0,,80000.0
7488,Momentum LLC,Lead Data Scientist - Engineering/Internet of Things,Detroit,MI,130000.0,,130000.0
7501,Resinate Materials Group,Sales Support Specialist,Plymouth,MI,45000.0,,45000.0
7509,Altair Engineering,Cockpit Module/Instrument Panel Project Engineer,FarmingtonHills,MI,77315.0,,77315.0
8120,Dashbot.io,Data Engineer and Scientist,SanFrancisco,CA,160000.0,180000.0,170000.0
8150,Bayone Solutions Inc.,Data Scientist - Recommendation Engine,SanFrancisco,CA,160000.0,,160000.0
8155,Nisum Technologies,Big Data Talend Developer,SanFrancisco,CA,140000.0,,140000.0
8181,Federal Emergency Management Agency,Physical Scientist,Oakland,CA,84302.0,109592.0,96947.0
8263,Workbridge Associates,Data Scientist (Image Processing),SanFrancisco,CA,130000.0,160000.0,145000.0
8269,Dashbot.io,Data Engineer and Scientist,SanFrancisco,CA,160000.0,180000.0,170000.0
