,Company Name,Job Title,Location,Salary
247,Oak Ridge Associated Universities,Statistical Analysis Fellowship - CDC,"Atlanta, GA",
248,ADP,Product Manager,"Alpharetta, GA 30005",
249,SimplePart.com,Director of Business Analytics,"Atlanta, GA",
250,IgnitionOne,Data Scientist,"Atlanta, GA",
251,Google,"Technical Curriculum Developer, Google Cloud Platform","Atlanta, GA",
252,MobileDev Power,Data Scientist With Predictive Modeling,"Atlanta, GA 30305",
253,Honeywell,"Principal Data Scientist - Atlanta, GA","Atlanta, GA",
254,Predictive Science,Data Scientist,United States,
255,Cox Automotive,Data Scientist,"Atlanta, GA",
256,Home Depot,DATA SCIENTIST,"Atlanta, GA 30354",
257,MobileDev Power,Data Scientist With Predictive Modeling,"Atlanta, GA 30305",
258,Children's Healthcare of Atlanta,Medical Technologist - Occassional - Scottish Rite,"Atlanta, GA 30342 (Buckhead area)",
259,Oak Ridge Associated Universities,Biostatistics; Statistician Fellowship -- CDC,"Atlanta, GA",
260,Macy's,Data Scientist,"Atlanta, GA",
261,Mobiquity,Sr Android Developer,"Atlanta, GA",
262,NCR,Sr Data Scientist,"Duluth, GA 30096",
263,Atkins,Ecology Project Manager,"Atlanta, GA 30328",
264,KPMG,"Data Scientist, Natural Language Processing","Atlanta, GA 30338",
265,Battelle,Influenza Molecular Virologist,"Atlanta, GA 30309 (Midtown area)",
266,Children's Healthcare of Atlanta,Medical Technologist - Part Time Evenings - Blood Bank - Egl...,"Atlanta, GA 30322",
267,IBM Kenexa,Product Designer – Android,"Atlanta, GA",
268,Honeywell,"Principal Data Scientist - Atlanta, GA","Atlanta, GA",
269,Predictive Science,Data Scientist,United States,
270,MobileDev Power,Data Scientist With Predictive Modeling,"Atlanta, GA 30305",
271,Home Depot,DATA SCIENTIST,"Atlanta, GA 30354",
272,ADP,Lead Systems Analyst - Vantage / HCM,"Alpharetta, GA 30005",
273,GE Digital,Sr Software Engineer,"Alpharetta, GA",
274,ADP,Senior Application Developer,"Alpharetta, GA 30005",
275,Cox Automotive,Data Scientist,"Atlanta, GA",
276,Battelle,Quality Assurance Auditor,"Atlanta, GA 30309 (Midtown area)",
277,"Beckman Coulter, Inc.",Field Service Engineer,"Atlanta, GA",
278,Children's Healthcare of Atlanta,Medical Technologist - Full Time Days - Blood Bank - Eglesto...,"Atlanta, GA 30322",
279,Georgia Department of Public Health,Laboratory Aide 3,"Atlanta, GA","$24,000 a year"
280,ICF,Public Health Scientists - Project Managers,"Atlanta, GA",
281,ADP,Lead Systems Analyst - Talent / Vantage,"Alpharetta, GA 30005",
282,Cox Automotive,Data Scientist,"Atlanta, GA",
283,Honeywell,"Principal Data Scientist - Atlanta, GA","Atlanta, GA",
284,Predictive Science,Data Scientist,United States,
285,Honeywell,"Principal Data Scientist - Atlanta, GA","Atlanta, GA",
286,Home Depot,DATA SCIENTIST,"Atlanta, GA 30354",
287,Equifax,Senior Statistical Consultant,"Alpharetta, GA",
288,"Gresham, Smith and Partners.","Transportation Project Manager Assistant | Atlanta, GA (Down...","Atlanta, GA",
289,State Farm Mutual Automobile Insurance Company,Data Scientist,"Atlanta, GA",
290,GE Digital,Software Engineer - Back End,"Alpharetta, GA",
291,Georgia Tech Research Institute,Acoustic Data Research Engineer ATAS Cobb 1148,"Smyrna, GA",
292,ICF,"Program Manager, Commute Alternatives - Atlanta","Atlanta, GA",
293,Reed Elsevier,"Director, Corporate Accounts, Southeast","Atlanta, GA",
294,Choice Technology Group,Automation Architect,"Alpharetta, GA",
295,ITAC Solutions,Senior Statistician - Research & Development,"Atlanta, GA",
296,ICF,Tribal Evaluation Specialist - telecommute from Alaska,"Atlanta, GA",
297,MobileDev Power,Data Scientist With Predictive Modeling,"Atlanta, GA 30305",
298,Cox Automotive,Data Scientist,"Atlanta, GA",
299,Predictive Science,Data Scientist,United States,
300,Cox Automotive,Data Scientist,"Atlanta, GA",
301,Home Depot,DATA SCIENTIST,"Atlanta, GA 30354",
302,IBM Kenexa,Lead Product Designer - Mobile Web,"Atlanta, GA",
303,Equifax,Data and Analytics Internship,"Alpharetta, GA",
304,Children's Healthcare of Atlanta,"Director, Laboratory Services","Atlanta, GA 30322",
305,TEKSystems,Security Architect,"Atlanta, GA 30309 (Midtown area)",
306,Children's Healthcare of Atlanta,Medical Technologist - PRN - Blood Bank - Scottish Rite,"Atlanta, GA 30342 (Buckhead area)",
307,360i,Associate Data Scientist,"Atlanta, GA 30306 (Virginia-Highland area)",
308,Mckesson,"Data Scientist, Analytics","Alpharetta, GA 30005",
309,Oak Ridge Associated Universities,Systematic Review Research Fellowship - CDC,"Atlanta, GA",
